#{"t_start": 1739367158.000448, "env_id": "None"}
r,l,t
-15.691248,151,1.121845
-27.530422,254,1.886513
-29.62619,159,2.367519
-13.196027,151,2.825028
4.9822397e-21,151,3.285343
-30.786448,120,3.65099
3.4318797e-14,151,4.112219
-23.607155,150,4.567548
0.15014154,151,5.027381
0.08999058,151,5.487179
4.9973664e-28,151,5.947231
-18.117146,185,6.498057
-40.68066,151,8.396261
0.010663675,151,8.857951
9.88388e-40,151,9.329288
-26.255789,111,9.689867
-24.168608,217,10.40255
-34.425858,195,11.039642
-40.18468,129,11.462551
0.13475138,151,11.957696
-19.604681,158,12.471524
-40.989418,164,13.002365
2.2872882e-05,151,13.489559
1.1660413e-07,151,13.976841
-30.838968,126,14.386406
-23.059683,143,14.849637
0.0,301,17.194983
-7.3820534,151,17.661973
0.0014440798,151,18.152356
-5.1867476,151,18.646856
-18.306416,200,19.300503
9.262745e-35,151,19.791615
-26.303806,124,20.192621
-30.303974,151,20.688072
-24.164312,151,21.178585
0.0,151,21.666222
-18.420792,151,22.157472
-17.050098,151,22.654596
0.0,151,24.543792
-29.760885,106,24.871111
1.1812157e-10,151,25.33105
-32.005768,260,26.157626
-23.978575,150,26.648266
0.0,151,27.154172
0.0,151,27.64537
4.3534055e-05,151,28.134931
0.15801327,151,28.625324
-19.590021,176,29.192692
0.003566629,151,29.682251
0.00016288574,151,30.16934
-29.983604,231,30.916322
-26.884897,266,33.140959
-31.95248,123,33.518027
0.23474452,151,34.011431
-29.631813,250,34.825377
1.0274775e-27,151,35.321341
-18.409924,309,36.319569
-8.393087,151,36.806808
1.0502508e-25,151,37.297961
0.033970747,151,37.78606
-12.16532,151,38.275725
2.40841e-29,151,38.764895
0.008519327,151,40.639083
0.42815697,151,41.098815
0.0109292185,151,41.564767
-20.711378,156,42.045214
0.0001080713,151,42.537142
1.8026197e-08,151,43.032063
6.025531e-06,151,43.523987
-26.59324,167,44.060256
5.042086e-33,151,44.55023
-30.794289,235,45.315262
-10.535641,151,45.805987
0.00091701123,151,46.298932
2.5419757e-12,151,46.793621
-21.778526,195,48.80617
-26.331038,234,49.524109
2.7615464e-05,151,50.00022
1.8699303e-36,151,50.493766
-50.80116,151,50.987654
1.889079e-06,151,51.479267
-27.650265,139,51.933918
0.0041625835,151,52.426051
1.0523263e-16,151,52.917223
-33.04986,236,53.68545
0.51849055,151,54.176431
-32.198174,150,54.667
-19.538057,239,56.820923
9.952403e-25,151,57.280465
6.9e-44,151,57.737399
0.83899915,151,58.224145
-26.469954,176,58.795408
0.15773839,151,59.288175
9.843651e-10,151,59.777505
-1.0069398,151,60.268206
-6.3179636,151,60.756843
-30.912512,142,61.220368
0.37160447,151,61.708903
1.789287,151,62.202426
5.103283e-08,151,62.698164
-35.475033,235,64.849892
4.995945e-07,151,65.31481
-16.75389,151,65.808115
0.012038803,151,66.303914
1.3786769e-11,301,67.274009
-40.77496,294,68.227583
-27.570065,285,69.14444
1.5827121e-24,151,69.635738
4.65459e-05,151,70.126739
2.9477751e-05,151,70.615858
5.486017,151,72.542294
0.15429242,151,73.003951
-30.859016,207,73.651157
-24.352983,151,74.144779
0.00063959527,151,74.637576
-28.586004,197,75.272674
1.5272301e-10,151,75.765821
0.0,151,76.255936
6.869007e-15,151,76.743567
-23.124687,269,77.611172
0.0,151,78.099693
9.902319e-27,151,78.591151
1.3532526e-10,151,80.520704
0.013000188,151,80.985596
0.5555846,151,81.44872
0.0,151,81.921525
0.32757294,451,83.376137
-26.3517,141,83.834789
-24.097027,294,84.779807
2.3831295e-10,151,85.271545
-22.874493,151,85.763391
-35.300056,154,86.26593
0.0005188114,151,86.760258
1.9997467e-08,151,88.657682
-24.671492,404,89.879174
1.7015754,301,90.848813
2.4718912e-23,151,91.338575
0.339675,301,92.3132
7.283e-42,301,93.281739
1.875861,151,93.773726
