#{"t_start": 1739453192.7516766, "env_id": "None"}
r,l,t
0.011063541,151,1.145999
-19.101383,151,1.508999
0.0,151,1.871999
0.010440378,151,2.233998
1.0790529e-12,151,2.591997
-6.257065,151,2.956997
-9.539174,151,3.322996
-21.943163,234,3.870996
9.065922e-20,151,4.231996
-24.123333,168,4.627995
-26.357471,233,5.173994
3.1526929e-38,151,5.533053
-24.150362,97,6.984051
0.009060379,151,7.341051
3.5275803,151,7.69805
0.0,151,8.05905
2.0173072e-22,151,8.422049
-7.3460207,151,8.781049
-18.342129,160,9.160048
-29.842312,148,9.513048
0.005990426,151,9.874048
-27.405386,164,10.262048
-19.30334,196,10.732047
0.010660627,151,11.090047
-24.20232,140,11.429046
-28.672514,118,11.726046
4.2053723,151,13.323044
1.0528659e-05,151,13.684044
-21.753717,130,13.994043
-20.73078,136,14.318043
-44.71668,213,14.827042
-17.551315,188,15.281042
-26.446276,213,15.781041
0.0026421414,151,16.142041
-21.790611,123,16.44204
0.08491422,151,16.79904
-19.869217,218,17.317039
0.021357164,151,17.684076
9.985189e-09,151,19.240037
-20.007326,151,19.602036
0.71348876,151,19.959036
0.0,151,20.317036
-7.2145762,151,20.675036
-23.070486,217,21.186035
3.5057605e-30,151,21.550034
-15.537687,151,21.911034
-8.017822,151,22.274034
0.017421061,151,22.630033
-29.78655,119,22.920033
-26.263805,199,23.389032
-18.310947,227,23.937032
0.00010719305,151,25.47803
-26.438095,148,25.83303
0.00044361645,151,26.189029
-23.791016,142,26.527029
9.949685e-11,151,26.884028
0.0,151,27.251028
0.0010766533,151,27.616027
2.5974262e-27,151,27.996027
-26.034744,151,28.359026
1.8709444e-22,151,28.720026
-26.196894,90,28.944026
0.0,151,29.308025
-10.395305,151,29.671025
0.0,151,30.028025
5.121024,151,31.632023
0.0,151,31.990022
0.0,151,32.348022
3.9455097e-07,151,32.705022
0.0014724206,151,33.062057
-59.33963,151,33.428021
6.2166244e-29,151,33.789021
0.0,151,34.14702
-26.534224,129,34.45802
4.917995e-06,151,34.819019
2.2308743,151,35.176018
-22.923107,103,35.432019
0.007332977,151,35.795018
0.0,151,36.152018
-8.495235,151,37.728016
8.1672756e-17,301,38.433015
0.006073544,151,38.793015
-6.1635,151,39.151014
3.1019952e-06,151,39.514014
-11.882404,151,39.871013
-29.60428,176,40.293013
-39.734066,137,40.623013
3.938301e-05,151,40.983012
-33.365555,233,41.528011
-25.263342,104,41.781011
-20.791622,151,42.142011
-20.831087,151,43.675009
1.611008e-08,151,44.035009
3.6752234,151,44.399008
-32.00484,93,44.625008
-14.358,151,45.004007
0.39718604,151,45.369007
-44.70038,253,45.975007
1.2768024e-08,151,46.336006
0.19583853,151,46.697048
0.0,151,47.065005
0.00046366223,151,47.424005
5.7111844e-09,151,47.795004
8.230311e-09,151,48.167004
8.892081e-06,151,49.753002
3.6136866,301,50.467001
-29.789347,151,50.833001
-26.7413,151,51.196
0.00021602168,151,51.558
1.0343959e-05,151,51.919
-127.35191,219,52.441
-21.778593,224,52.968998
3.5305724e-15,151,53.327127
1.5795853e-05,151,53.683464
0.0,151,54.040087
2.1656317e-06,151,54.400407
0.010747678,151,55.981392
1.2667925e-05,151,56.342693
-32.639896,161,56.727356
-32.04946,198,57.196627
1.5796412e-38,151,57.555028
0.0011339317,151,57.91481
6.976359e-06,151,58.271233
1.2967861e-32,151,58.629829
-3.0313437,151,58.994002
2.2110752e-16,151,59.35715
-37.205627,151,59.718113
0.26762992,301,60.42788
0.6738679,151,61.98948
8.943478e-05,151,62.352801
2.05817e-40,151,62.71647
0.00015371542,151,63.074144
6.3783e-05,151,63.439644
5.1042563e-37,151,63.807314
1.1715747e-19,151,64.164012
-23.151878,151,64.527316
0.0,151,64.88965
0.1466642,151,65.24832
5.042421e-07,151,65.608588
1.8073981e-08,451,66.663162
0.0,151,68.582159
2.26e-43,151,68.943159
-21.188831,301,69.645159
3.8181673e-07,301,70.356157
1.1020802,451,71.402156
0.0,301,72.102155
9.929086e-07,301,72.814154
0.0093268575,151,74.372153
0.26534066,151,74.728153
0.00024540367,151,75.085152
1.7707608,151,75.443151
2.9743474e-35,151,75.803151
2.3978741e-09,151,76.160151
2.5510033e-16,301,76.86415
1.6039949e-09,151,77.224149
7.4986965e-05,151,77.581645
1.4612434e-05,151,77.942925
5.2338803e-18,151,78.303668
5.81976e-06,451,80.558478
0.0,151,80.919478
0.14687628,151,81.280478
2.4644417e-14,151,81.637193
0.011857306,151,82.00186
4.7498527,301,82.703079
1.0425018e-23,301,83.410627
6.5439104e-13,151,83.775294
0.0026136248,151,84.134169
0.007257341,151,84.497993
0.41512635,151,84.859667
0.0,151,86.423711
0.051299967,151,86.780711
5.4728694,151,87.13671
2.602357e-07,151,87.49971
0.0,151,87.856709
0.0,151,88.215709
0.926113,151,88.575709
4.048517,151,88.942708
1.936108e-20,301,89.649842
0.021006046,301,90.356883
2.428263e-28,151,90.713152
0.22893496,151,91.069893
0.008315789,151,92.627752
0.0019528893,151,92.989471
0.02228425,151,93.39668
6.233316e-05,151,93.781381
1.6068202,151,94.151021
1.0756649e-15,151,94.539688
0.0,151,94.937475
1.4877868,301,95.671669
0.0021365427,151,96.043668
0.0070395856,151,96.467668
4.527471,301,97.225667
0.00026926823,151,97.609667
0.077239156,151,100.451664
0.0011786417,151,101.311017
3.6016172e-07,301,102.99113
0.70676404,151,103.877668
1.8375295,151,104.755178
6.3355762e-21,151,105.652178
0.73107225,151,106.542176
1.8489327e-07,151,107.399175
5.7209695e-29,151,108.242174
0.17404607,151,109.075175
2.0266805,151,109.917174
4.811005,151,110.774173
9.964674e-39,151,114.078542
0.0,151,114.914606
0.00094229716,151,115.783776
2.0132e-41,151,116.633472
0.034261163,151,117.466144
0.0,151,118.300144
0.0131325545,151,119.133143
0.047390647,151,119.965232
0.00029138636,151,120.797782
